,lat,lon
0,"-20°05'43.890""","-44°09'44.560"""
1,"-18°51'54.800""","-43°24'29.200"""
2,"-05°49'26.300""","-50°29'29.100"""
3,"-20°07'47.530""","-44°06'09.230"""
4,"-23°21'20.600""","-46°16'58.500"""
5,"-16°17'26.700""","-56°42'43.100"""
6,"-09°52'32.341""","-39°51'54.787"""
7,"-10°18'56.000""","-39°45'57.000"""
8,"-25°22'13.821""","-49°41'27.099"""
9,"-09°52'29.629""","-39°51'53.877"""
10,"-09°51'39.164""","-39°52'49.306"""
11,"-16°06'39.080""","-56°34'26.280"""
12,"-16°15'02.200""","-56°35'56.900"""
13,"-15°54'09.690""","-56°12'26.470"""
14,"-20°06'56.500""","-44°13'06.100"""
15,"-24°44'52.790""","-49°11'40.930"""
16,"-19°15'44.400""","-57°31'40.000"""
17,"-01°40'17.600""","-56°26'03.100"""
18,"-06°35'24.000""","-51°05'24.000"""
19,"-15°39'42.790""","-56°20'38.590"""
20,"-05°49'02.136""","-50°34'01.808"""
21,"-00°44'00.100""","-60°08'18.200"""
22,"-15°39'16.700""","-56°23'19.550"""
23,"-11°09'42.850""","-61°36'50.800"""
24,"-15°14'53.357""","-59°17'34.245"""
25,"-17°58'21.600""","-46°48'52.200"""
26,"-17°58'07.170""","-43°10'11.080"""
27,"-09°52'39.158""","-39°52'04.348"""
28,"-19°15'43.500""","-57°31'40.500"""
29,"-20°08'00.950""","-44°22'46.450"""
30,"-09°52'30.737""","-39°52'08.101"""
31,"-19°46'59.200""","-43°10'59.200"""
32,"-21°03'43.757""","-42°33'49.546"""
33,"-14°50'22.300""","-59°39'27.300"""
34,"-19°15'39.500""","-57°31'43.600"""
35,"-06°24'28.900""","-50°02'39.000"""
36,"-23°24'16.000""","-46°11'54.500"""
37,"-20°16'13.852""","-43°29'46.447"""
38,"-20°54'12.200""","-43°48'14.000"""
39,"-21°18'29.660""","-44°39'39.180"""
40,"-06°21'56.170""","-56°15'59.710"""
41,"-00°47'08.600""","-60°08'30.900"""
42,"-05°30'34.700""","-50°14'03.180"""
43,"-06°06'45.823""","-50°18'30.921"""
44,"-11°15'36.800""","-39°21'27.250"""
45,"-14°15'12.930""","-49°25'33.580"""
46,"-28°28'53.410""","-49°27'07.510"""
47,"-20°02'21.600""","-43°55'44.900"""
48,"-20°14'09.149""","-43°25'22.771"""
49,"-09°51'12.571""","-39°51'49.114"""
50,"-23°21'23.900""","-46°17'05.800"""
51,"-16°12'57.000""","-56°36'15.500"""
52,"-19°11'31.331""","-57°36'52.526"""
53,"-14°11'47.547""","-39°41'29.939"""
54,"-01°34'58.000""","-48°44'49.400"""
55,"-20°22'46.090""","-43°55'00.420"""
56,"-20°16'07.500""","-43°53'35.800"""
57,"-18°08'19.663""","-47°46'55.691"""
58,"-14°32'13.600""","-59°46'12.880"""
59,"-16°15'18.000""","-56°36'55.000"""
60,"-20°25'55.900""","-43°50'58.400"""
61,"-15°07'56.012""","-59°22'26.178"""
62,"-15°32'02.460""","-56°03'02.290"""
63,"-23°39'32.700""","-48°00'20.400"""
64,"-19°59'08.000""","-44°07'17.300"""
65,"-11°26'53.000""","-39°05'53.000"""
66,"-19°15'44.700""","-57°31'42.300"""
67,"-20°07'11.300""","-44°18'26.900"""
68,"-19°13'28.008""","-57°33'35.925"""
69,"-17°29'46.800""","-46°49'07.800"""
70,"-23°23'38.400""","-46°12'35.100"""
71,"-09°52'36.688""","-39°52'05.408"""
72,"-09°51'09.377""","-39°51'57.949"""
73,"-19°38'44.132""","-43°14'32.010"""
74,"-19°38'59.000""","-46°56'46.000"""
75,"-17°09'26.247""","-46°45'28.458"""
76,"-09°45'57.100""","-63°34'06.900"""
77,"-19°57'49.103""","-43°14'16.323"""
78,"-13°41'23.770""","-40°41'29.300"""
79,"-23°37'08.900""","-47°49'12.900"""
80,"-16°01'37.490""","-56°31'29.280"""
81,"-21°25'49.220""","-47°36'47.000"""
82,"-15°51'48.376""","-56°13'29.773"""
83,"-01°34'14.200""","-48°45'25.300"""
84,"-20°09'44.900""","-44°26'50.600"""
85,"-19°57'49.000""","-43°50'20.000"""
86,"-01°40'24.500""","-56°27'10.100"""
87,"-06°28'41.600""","-50°19'16.900"""
88,"-15°07'53.367""","-59°22'24.724"""
89,"-20°07'12.800""","-44°22'18.400"""
90,"-06°14'41.875""","-49°44'40.790"""
91,"-01°41'05.300""","-56°25'37.400"""
92,"-19°24'38.280""","-47°57'18.520"""
93,"00°24'25.540""","-51°44'15.120"""
94,"-06°24'41.461""","-50°01'59.710"""
95,"-20°22'38.190""","-43°54'52.910"""
96,"-02°30'18.000""","-56°10'32.800"""
97,"-20°14'59.720""","-43°56'07.650"""
98,"-20°26'02.500""","-43°52'56.400"""
99,"-06°26'01.900""","-50°02'54.100"""
100,"-09°46'14.500""","-62°44'26.300"""
101,"-09°52'36.998""","-39°52'12.550"""
102,"-06°29'06.900""","-51°04'39.100"""
103,"-14°38'25.076""","-52°30'03.686"""
104,"-00°47'22.800""","-60°08'39.400"""
105,"-20°07'49.000""","-44°25'21.000"""
106,"-19°52'43.139""","-43°22'41.690"""
107,"-21°04'21.600""","-44°35'18.540"""
108,"-05°59'41.256""","-50°06'34.134"""
109,"-15°46'29.100""","-56°17'08.600"""
110,"-19°52'29.203""","-43°22'47.022"""
111,"-15°41'47.500""","-56°20'02.100"""
112,"-01°34'58.000""","-48°44'49.400"""
113,"-20°12'38.870""","-43°27'37.490"""
114,"-20°06'36.060""","-43°54'11.690"""
115,"-20°07'17.000""","-44°22'16.400"""
116,"-19°34'57.350""","-44°24'35.750"""
117,"-16°18'45.010""","-56°39'08.230"""
118,"-13°41'14.100""","-40°41'20.900"""
119,"-23°24'43.000""","-46°12'42.800"""
120,"-20°03'40.100""","-43°57'40.800"""
121,"-20°30'21.000""","-43°53'00.000"""
122,"-10°39'28.200""","-37°01'47.400"""
123,"-14°32'41.040""","-59°46'31.110"""
124,"-16°13'57.370""","-56°36'25.111"""
125,"-15°08'07.570""","-59°22'37.050"""
126,"-20°09'42.900""","-44°27'22.500"""
127,"-21°18'31.440""","-44°39'43.340"""
128,"-15°55'25.845""","-56°09'48.833"""
129,"-28°28'59.020""","-49°27'04.040"""
130,"-09°31'24.000""","-62°54'21.200"""
131,"-09°52'25.841""","-39°52'15.247"""
132,"00°51'80.200""","-51°53'45.350"""
133,"-19°34'13.730""","-43°13'53.604"""
134,"-19°40'24.340""","-46°58'19.196"""
135,"-01°18'04.800""","-45°45'40.700"""
136,"-18°09'03.027""","-47°46'55.116"""
137,"-19°50'18.600""","-46°49'58.000"""
138,"-16°10'59.700""","-56°25'06.900"""
139,"-15°38'52.670""","-56°22'52.820"""
140,"-01°28'18.900""","-56°23'08.700"""
141,"-20°24'42.200""","-43°51'55.000"""
142,"-12°53'50.800""","-60°25'21.300"""
143,"-19°15'41.600""","-57°31'42.800"""
144,"-03°15'54.986""","-47°45'11.400"""
145,"-19°12'19.900""","-57°38'07.100"""
146,"-20°14'28.600""","-43°24'39.193"""
147,"-14°14'01.600""","-41°43'10.900"""
148,"-23°37'53.600""","-47°37'18.500"""
149,"-20°25'33.000""","-43°53'30.400"""
150,"-23°21'21.300""","-47°43'42.400"""
151,"-23°23'08.800""","-46°11'39.200"""
152,"-16°14'47.150""","-56°35'15.890"""
153,"-23°23'35.060""","-46°46'30.100"""
154,"-20°13'29.700""","-43°52'23.600"""
155,"-20°23'41.500""","-43°50'22.800"""
156,"-01°40'29.700""","-56°27'39.300"""
157,"-19°58'25.000""","-43°49'46.000"""
158,"-09°52'31.400""","-39°52'09.937"""
159,"-09°51'15.285""","-39°51'59.529"""
160,"02°19'16.300""","-51°41'26.100"""
161,"-18°53'23.000""","-43°24'19.000"""
162,"-28°28'56.790""","-49°27'04.780"""
163,"-20°27'08.000""","-43°53'59.000"""
164,"-06°03'24.673""","-50°08'37.608"""
165,"-20°01'38.910""","-43°25'26.900"""
166,"-09°51'19.659""","-39°52'02.121"""
167,"-03°15'34.180""","-47°45'29.400"""
168,"-11°27'48.021""","-58°56'18.673"""
169,"-20°07'50.650""","-44°25'36.130"""
170,"-19°38'51.300""","-43°16'26.900"""
171,"-11°09'30.250""","-61°36'42.030"""
172,"-16°04'08.260""","-56°33'54.370"""
173,"-19°15'45.700""","-57°31'37.400"""
174,"-19°40'27.200""","-43°14'11.100"""
175,"-16°14'52.070""","-56°35'44.880"""
176,"-05°58'45.400""","-50°08'29.100"""
177,"-09°52'43.946""","-39°52'07.752"""
178,"-20°26'16.300""","-45°08'54.300"""
179,"-18°55'68.000""","-43°24'04.290"""
180,"-01°40'35.400""","-56°26'16.800"""
181,"-14°14'25.740""","-49°21'54.040"""
182,"-14°38'21.098""","-52°30'04.795"""
183,"-09°52'51.023""","-39°52'23.458"""
184,"00°52'32.430""","-51°53'13.410"""
185,"-23°39'05.500""","-47°59'32.500"""
186,"-10°45'37.774""","-48°04'50.612"""
187,"-06°19'30.340""","-55°47'10.880"""
188,"-19°47'05.900""","-43°10'48.600"""
189,"-19°15'41.600""","-57°31'42.800"""
190,"-20°09'35.400""","-44°26'59.800"""
191,"-19°36'33.516""","-43°15'48.177"""
192,"-19°53'31.600""","-43°17'05.000"""
193,"-12°57'09.130""","-60°24'29.700"""
194,"-09°51'25.092""","-39°51'56.548"""
195,"-20°07'06.227""","-43°24'52.458"""
196,"-14°48'36.600""","-49°32'26.400"""
197,"-24°44'54.630""","-49°11'16.070"""
198,"-23°21'24.500""","-46°16'31.200"""
199,"-19°55'56.851""","-43°12'33.168"""
200,"-19°57'33.180""","-43°14'20.000"""
201,"-06°21'39.010""","-56°16'01.590"""
202,"-19°51'56.815""","-43°43'39.215"""
203,"-01°40'58.200""","-56°26'40.400"""
204,"-21°18'29.650""","-44°39'42.590"""
205,"-19°50'14.100""","-46°50'14.500"""
206,"-14°12'21.000""","-49°24'22.200"""
207,"-10°18'51.000""","-39°46'02.000"""
208,"-17°57'54.000""","-46°50'39.000"""
209,"-19°34'56.800""","-44°24'41.100"""
210,"-02°29'13.000""","-56°10'23.000"""
211,"-20°10'15.254""","-43°29'53.120"""
212,"-15°07'57.866""","-59°22'24.004"""
213,"-16°17'32.640""","-56°39'02.720"""
214,"-10°30'18.000""","-63°37'14.100"""
215,"-20°25'52.800""","-43°52'58.300"""
216,"-16°15'29.760""","-56°35'47.180"""
217,"-11°08'07.500""","-62°26'15.100"""
218,"-20°29'07.000""","-43°57'18.000"""
219,"-06°24'09.341""","-50°04'31.472"""
220,"-20°08'19.363""","-44°24'02.991"""
221,"-23°23'50.400""","-46°11'41.600"""
222,"-00°44'16.900""","-60°04'44.100"""
223,"-15°53'44.100""","-56°11'07.400"""
224,"-20°11'50.075""","-43°52'44.829"""
225,"-22°09'25.047""","-47°38'34.049"""
