,ano,mes,valor,substancia,uf
0,2020,1,108321.800000000000000000,FERRO,MG
1,2020,7,70.678650000000000000,FERRO,RJ
2,2020,1,482000.970000000000000000,FERRO,MG
3,2020,10,35798.996000000000000000,FERRO,RJ
4,2020,7,5745.550300000000000000,FERRO,MG
5,2020,12,48.102540000000000000,FERRO,SP
6,2020,3,1.381155000000000000,FERRO,RS
7,2020,8,3609.986800000000000000,FERRO,MG
8,2020,9,157734.000000000000000000,FERRO,RJ
9,2020,10,119131.590000000000000000,FERRO,MG
10,2020,5,78080.020000000000000000,FERRO,MG
11,2020,10,36992.920000000000000000,FERRO,ES
12,2020,4,108986.484000000000000000,FERRO,RJ
13,2020,9,32232.447000000000000000,FERRO,ES
14,2020,6,132988.100000000000000000,FERRO,MA
15,2020,12,82393.320000000000000000,FERRO,MG
16,2020,8,32821.074000000000000000,FERRO,MG
17,2020,6,5.300552000000000000,FERRO,CE
18,2020,5,133340.600000000000000000,FERRO,MA
19,2020,9,13952.503000000000000000,FERRO,MG
20,2020,8,125780.695000000000000000,FERRO,RJ
21,2020,9,7111.401000000000000000,FERRO,MG
22,2020,10,358.085720000000000000,FERRO,RJ
23,2020,11,8712.152000000000000000,FERRO,MG
24,2020,7,8697.516000000000000000,FERRO,MG
25,2020,11,46603.010000000000000000,FERRO,RJ
26,2020,3,25068.895000000000000000,FERRO,RJ
27,2020,12,608313.500000000000000000,FERRO,AL
28,2020,12,1.330026000000000000,FERRO,SC
29,2020,1,1090005.500000000000000000,FERRO,MG
30,2020,2,75464.125000000000000000,FERRO,RJ
31,2020,2,32749.895000000000000000,FERRO,MG
32,2020,6,232130.580000000000000000,FERRO,MG
33,2020,12,169551.690000000000000000,FERRO,MG
34,2020,4,84838.060000000000000000,FERRO,MG
35,2020,3,19963.084000000000000000,FERRO,MG
36,2020,12,289960.940000000000000000,FERRO,MG
37,2020,10,8.200555000000000000,FERRO,CE
38,2020,9,35.517616000000000000,FERRO,MG
39,2020,7,20257.710000000000000000,FERRO,MG
40,2020,9,5.911482000000000000,FERRO,CE
41,2020,6,86153.920000000000000000,FERRO,MG
42,2020,2,160359.060000000000000000,FERRO,MG
43,2020,3,2578.353500000000000000,FERRO,MG
44,2020,11,125519.710000000000000000,FERRO,RJ
45,2020,2,66168.660000000000000000,FERRO,MG
46,2020,1,11681.546000000000000000,FERRO,MG
47,2020,7,33253.746000000000000000,FERRO,MG
48,2020,11,23993.236000000000000000,FERRO,ES
49,2020,4,46448.254000000000000000,FERRO,RJ
50,2020,10,74434.120000000000000000,FERRO,MG
51,2020,8,69154.664000000000000000,FERRO,MA
52,2020,8,12.186803000000000000,FERRO,SP
53,2020,9,129548.540000000000000000,FERRO,MG
54,2020,12,241463.120000000000000000,FERRO,RJ
55,2020,11,2187826.000000000000000000,FERRO,MA
56,2020,5,63089.406000000000000000,FERRO,MG
57,2020,7,50664.914000000000000000,FERRO,MG
58,2020,7,3167661.800000000000000000,FERRO,MG
59,2020,3,3571.404000000000000000,FERRO,PA
60,2020,7,3.441389000000000000,FERRO,MG
61,2020,9,60283.350000000000000000,FERRO,GO
62,2020,8,395.288060000000000000,FERRO,MG
63,2020,12,251.069950000000000000,FERRO,MG
64,2020,9,168629.170000000000000000,FERRO,MG
65,2020,1,129208.980000000000000000,FERRO,MA
66,2020,4,240896.480000000000000000,FERRO,MG
67,2020,10,16052.167000000000000000,FERRO,MG
68,2020,8,20874.387000000000000000,FERRO,MG
69,2020,1,143349.890000000000000000,FERRO,MG
70,2020,8,82327.150000000000000000,FERRO,RJ
71,2020,1,1656.576000000000000000,FERRO,MG
72,2020,4,44832.727000000000000000,FERRO,CE
73,2020,4,788502.300000000000000000,FERRO,MG
74,2020,2,82288.580000000000000000,FERRO,RJ
75,2020,7,141.709490000000000000,FERRO,RJ
